17:12:57.716922 config: drop-rate=0.00, max-delay=0s, seed=1478988777716874173
17:12:57.717105 router is listening at :3000
17:27:50.125985 config: drop-rate=0.00, max-delay=0s, seed=1478989670125937613
17:27:50.126120 router is listening at :3000
16:17:41.143148 config: drop-rate=0.00, max-delay=0s, seed=1479158261143103203
16:17:41.143538 router is listening at :3000
16:18:09.621707 [queue=0] packet #1, 127.0.0.1:60332 -> 127.0.0.1:8007, sz=11 is delivered
16:18:09.621961 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60332, sz=11 is delivered
16:19:11.956419 [queue=0] packet #1, 127.0.0.1:63398 -> 127.0.0.1:8007, sz=11 is delivered
16:19:11.956628 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63398, sz=11 is delivered
16:26:24.487832 [queue=0] packet #1, 127.0.0.1:53723 -> 127.0.0.1:8007, sz=11 is delivered
16:26:24.488012 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53723, sz=11 is delivered
16:26:27.110655 [queue=0] packet #1, 127.0.0.1:53254 -> 127.0.0.1:8007, sz=11 is delivered
16:26:27.110941 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53254, sz=11 is delivered
16:26:28.459199 [queue=0] packet #1, 127.0.0.1:61652 -> 127.0.0.1:8007, sz=11 is delivered
16:26:28.459439 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61652, sz=11 is delivered
16:26:29.709327 [queue=0] packet #1, 127.0.0.1:59238 -> 127.0.0.1:8007, sz=11 is delivered
16:26:29.709575 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59238, sz=11 is delivered
16:26:30.461667 [queue=0] packet #1, 127.0.0.1:55255 -> 127.0.0.1:8007, sz=11 is delivered
16:26:30.461871 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55255, sz=11 is delivered
16:26:31.110847 [queue=0] packet #1, 127.0.0.1:57504 -> 127.0.0.1:8007, sz=11 is delivered
16:26:31.111061 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57504, sz=11 is delivered
16:26:31.693789 [queue=0] packet #1, 127.0.0.1:52132 -> 127.0.0.1:8007, sz=11 is delivered
16:26:31.694041 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52132, sz=11 is delivered
16:26:32.233049 [queue=0] packet #1, 127.0.0.1:50850 -> 127.0.0.1:8007, sz=11 is delivered
16:26:32.233280 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50850, sz=11 is delivered
16:26:32.725039 [queue=0] packet #1, 127.0.0.1:49421 -> 127.0.0.1:8007, sz=11 is delivered
16:26:32.725253 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49421, sz=11 is delivered
16:26:33.229503 [queue=0] packet #1, 127.0.0.1:61886 -> 127.0.0.1:8007, sz=11 is delivered
16:26:33.229787 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61886, sz=11 is delivered
16:26:35.269370 [queue=0] packet #1, 127.0.0.1:53175 -> 127.0.0.1:8007, sz=11 is delivered
16:26:35.269560 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53175, sz=11 is delivered
16:29:46.495918 config: drop-rate=0.50, max-delay=0s, seed=1479158986494983493
16:29:46.496068 router is listening at :3000
16:29:49.597533 [queue=0] packet #1, 127.0.0.1:52731 -> 127.0.0.1:8007, sz=11 is dropped
16:29:54.657479 [queue=0] packet #1, 127.0.0.1:50955 -> 127.0.0.1:8007, sz=11 is delivered
16:29:54.657817 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50955, sz=11 is delivered
